127.0.0.1 - - [14/May/2021:15:43:51 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/May/2021:15:43:55 +0530] "GET /project0/ HTTP/1.1" 200 1768
0:0:0:0:0:0:0:1 - - [14/May/2021:15:43:55 +0530] "GET /project0/resources/img/logo.jpg;jsessionid=7FB89A99B88669E1B8209AFFF6DF7BEC HTTP/1.1" 200 13234
0:0:0:0:0:0:0:1 - - [14/May/2021:15:43:55 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [14/May/2021:15:45:15 +0530] "GET /project0/Welcome;jsessionid=7FB89A99B88669E1B8209AFFF6DF7BEC HTTP/1.1" 200 7333
0:0:0:0:0:0:0:1 - - [14/May/2021:15:45:16 +0530] "GET /ORS_0/resources/img/icon.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [14/May/2021:15:57:09 +0530] "GET /project0/Login HTTP/1.1" 200 9108
0:0:0:0:0:0:0:1 - - [14/May/2021:15:57:22 +0530] "POST /project0/Login HTTP/1.1" 200 9282
0:0:0:0:0:0:0:1 - - [14/May/2021:15:57:25 +0530] "POST /project0/Login HTTP/1.1" 200 14019
0:0:0:0:0:0:0:1 - - [14/May/2021:15:57:28 +0530] "GET /project0/ctl/User/AddUser HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [14/May/2021:15:58:18 +0530] "POST /project0/ctl/User/AddUser HTTP/1.1" 200 21933
0:0:0:0:0:0:0:1 - - [14/May/2021:15:58:26 +0530] "POST /project0/ctl/User/AddUser HTTP/1.1" 200 21920
0:0:0:0:0:0:0:1 - - [14/May/2021:15:58:36 +0530] "POST /project0/ctl/User/AddUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2021:15:58:36 +0530] "GET /project0/ctl/User/AddUser?enteremail=Enter+EmailId+&enterpassword=Enter+Password&enterdob=Enter+Date+Of+Birth&enterfirstName=Enter+First+Name&enterLastName=Enter+Surname&enterconPassword=Re-Type+Password&enterMobile=Enter+Mobile+No HTTP/1.1" 200 21860
0:0:0:0:0:0:0:1 - - [14/May/2021:15:59:51 +0530] "POST /project0/ctl/User/AddUser?enteremail=Enter+EmailId+&enterpassword=Enter+Password&enterdob=Enter+Date+Of+Birth&enterfirstName=Enter+First+Name&enterLastName=Enter+Surname&enterconPassword=Re-Type+Password&enterMobile=Enter+Mobile+No HTTP/1.1" 200 22164
0:0:0:0:0:0:0:1 - - [14/May/2021:15:59:57 +0530] "POST /project0/ctl/User/AddUser?enteremail=Enter+EmailId+&enterpassword=Enter+Password&enterdob=Enter+Date+Of+Birth&enterfirstName=Enter+First+Name&enterLastName=Enter+Surname&enterconPassword=Re-Type+Password&enterMobile=Enter+Mobile+No HTTP/1.1" 200 22151
0:0:0:0:0:0:0:1 - - [14/May/2021:16:00:04 +0530] "POST /project0/ctl/User/AddUser?enteremail=Enter+EmailId+&enterpassword=Enter+Password&enterdob=Enter+Date+Of+Birth&enterfirstName=Enter+First+Name&enterLastName=Enter+Surname&enterconPassword=Re-Type+Password&enterMobile=Enter+Mobile+No HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2021:16:00:04 +0530] "GET /project0/ctl/User/AddUser?enteremail=Enter+EmailId+&enterpassword=Enter+Password&enterdob=Enter+Date+Of+Birth&enterfirstName=Enter+First+Name&enterLastName=Enter+Surname&enterconPassword=Re-Type+Password&enterMobile=Enter+Mobile+No HTTP/1.1" 200 21860
0:0:0:0:0:0:0:1 - - [14/May/2021:16:01:06 +0530] "POST /project0/ctl/User/AddUser?enteremail=Enter+EmailId+&enterpassword=Enter+Password&enterdob=Enter+Date+Of+Birth&enterfirstName=Enter+First+Name&enterLastName=Enter+Surname&enterconPassword=Re-Type+Password&enterMobile=Enter+Mobile+No HTTP/1.1" 200 22145
0:0:0:0:0:0:0:1 - - [14/May/2021:16:01:12 +0530] "POST /project0/ctl/User/AddUser?enteremail=Enter+EmailId+&enterpassword=Enter+Password&enterdob=Enter+Date+Of+Birth&enterfirstName=Enter+First+Name&enterLastName=Enter+Surname&enterconPassword=Re-Type+Password&enterMobile=Enter+Mobile+No HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2021:16:01:12 +0530] "GET /project0/ctl/User/AddUser?enteremail=Enter+EmailId+&enterpassword=Enter+Password&enterdob=Enter+Date+Of+Birth&enterfirstName=Enter+First+Name&enterLastName=Enter+Surname&enterconPassword=Re-Type+Password&enterMobile=Enter+Mobile+No HTTP/1.1" 200 21860
0:0:0:0:0:0:0:1 - - [14/May/2021:16:01:35 +0530] "GET /project0/ctl/User/AddUser?lang=hi HTTP/1.1" 200 22765
0:0:0:0:0:0:0:1 - - [14/May/2021:16:01:37 +0530] "GET /project0/ctl/User/AddUser?lang=en HTTP/1.1" 200 21638
0:0:0:0:0:0:0:1 - - [14/May/2021:16:02:41 +0530] "POST /project0/ctl/User/AddUser?lang=en HTTP/1.1" 200 21922
0:0:0:0:0:0:0:1 - - [14/May/2021:16:02:48 +0530] "POST /project0/ctl/User/AddUser?lang=en HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2021:16:02:48 +0530] "GET /project0/ctl/User/AddUser?enteremail=Enter+EmailId+&enterpassword=Enter+Password&enterdob=Enter+Date+Of+Birth&enterfirstName=Enter+First+Name&enterLastName=Enter+Surname&enterconPassword=Re-Type+Password&enterMobile=Enter+Mobile+No HTTP/1.1" 200 21860
0:0:0:0:0:0:0:1 - - [14/May/2021:16:03:58 +0530] "POST /project0/ctl/User/AddUser?enteremail=Enter+EmailId+&enterpassword=Enter+Password&enterdob=Enter+Date+Of+Birth&enterfirstName=Enter+First+Name&enterLastName=Enter+Surname&enterconPassword=Re-Type+Password&enterMobile=Enter+Mobile+No HTTP/1.1" 200 22148
0:0:0:0:0:0:0:1 - - [14/May/2021:16:04:02 +0530] "POST /project0/ctl/User/AddUser?enteremail=Enter+EmailId+&enterpassword=Enter+Password&enterdob=Enter+Date+Of+Birth&enterfirstName=Enter+First+Name&enterLastName=Enter+Surname&enterconPassword=Re-Type+Password&enterMobile=Enter+Mobile+No HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2021:16:04:02 +0530] "GET /project0/ctl/User/AddUser?enteremail=Enter+EmailId+&enterpassword=Enter+Password&enterdob=Enter+Date+Of+Birth&enterfirstName=Enter+First+Name&enterLastName=Enter+Surname&enterconPassword=Re-Type+Password&enterMobile=Enter+Mobile+No HTTP/1.1" 200 21860
0:0:0:0:0:0:0:1 - - [14/May/2021:16:04:58 +0530] "POST /project0/ctl/User/AddUser?enteremail=Enter+EmailId+&enterpassword=Enter+Password&enterdob=Enter+Date+Of+Birth&enterfirstName=Enter+First+Name&enterLastName=Enter+Surname&enterconPassword=Re-Type+Password&enterMobile=Enter+Mobile+No HTTP/1.1" 200 22145
